ISP CET/CEST,Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
07/06/2024 14:15:00 - 07/06/2024 14:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-16.96,18.60
07/06/2024 14:30:00 - 07/06/2024 14:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,1.86,18.60
07/06/2024 14:45:00 - 07/06/2024 15:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-15.76,18.60
07/06/2024 15:00:00 - 07/06/2024 15:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,97.17, 
07/06/2024 15:15:00 - 07/06/2024 15:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,109.51, 
07/06/2024 15:30:00 - 07/06/2024 15:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,41.95, 
07/06/2024 15:45:00 - 07/06/2024 16:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,2.97,18.60
07/06/2024 16:00:00 - 07/06/2024 16:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,20.77
07/06/2024 16:15:00 - 07/06/2024 16:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-17.58,24.60
07/06/2024 16:30:00 - 07/06/2024 16:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-15.38,10.51
07/06/2024 16:45:00 - 07/06/2024 17:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,11.92
07/06/2024 17:00:00 - 07/06/2024 17:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,-10.81
07/06/2024 17:15:00 - 07/06/2024 17:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,-1.74
07/06/2024 17:30:00 - 07/06/2024 17:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,13.18
07/06/2024 17:45:00 - 07/06/2024 18:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,13.58
07/06/2024 18:00:00 - 07/06/2024 18:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,22.29
07/06/2024 18:15:00 - 07/06/2024 18:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-18.55,42.85
07/06/2024 18:30:00 - 07/06/2024 18:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,7.53,55.25
07/06/2024 18:45:00 - 07/06/2024 19:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,20.13,46.02
07/06/2024 19:00:00 - 07/06/2024 19:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,10.86,25.12
07/06/2024 19:15:00 - 07/06/2024 19:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,35.58
07/06/2024 19:30:00 - 07/06/2024 19:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,17.04
07/06/2024 19:45:00 - 07/06/2024 20:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,24.06
07/06/2024 20:00:00 - 07/06/2024 20:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,13.38,37.88
07/06/2024 20:15:00 - 07/06/2024 20:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,13.38,33.22
07/06/2024 20:30:00 - 07/06/2024 20:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,31.24
07/06/2024 20:45:00 - 07/06/2024 21:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,15.70
07/06/2024 21:00:00 - 07/06/2024 21:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,15.31,36.13
07/06/2024 21:15:00 - 07/06/2024 21:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,15.31,41.93
07/06/2024 21:30:00 - 07/06/2024 21:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,16.89,51.18
07/06/2024 21:45:00 - 07/06/2024 22:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,16.89,37.30
07/06/2024 22:00:00 - 07/06/2024 22:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,16.90,52.04
07/06/2024 22:15:00 - 07/06/2024 22:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,16.89,59.88
07/06/2024 22:30:00 - 07/06/2024 22:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,16.90,59.88
07/06/2024 22:45:00 - 07/06/2024 23:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,16.90,59.88
07/06/2024 23:00:00 - 07/06/2024 23:15:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,26.45,59.88
07/06/2024 23:15:00 - 07/06/2024 23:30:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,13.39,55.94
07/06/2024 23:30:00 - 07/06/2024 23:45:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,13.39,59.88
07/06/2024 23:45:00 - 08/06/2024 00:00:00,LFA|FR,aFRR LS,Not Specified,Standard,AVERAGE,13.38,36.70
